case_name,dataset,score
S50_S0989,real_train,0.6887896
A50_S0418,real_train,0.75095534
S50_S0622,real_train,0.7550624
A50_S0077,real_train,0.8465178
S50_S0951,real_train,0.7503329
A60_S0782,real_train,0.8360528
S60_S0597,real_train,0.871791
S40_S0825,real_train,0.6972146
A50_S0911,real_train,0.8224491
A50_S0200,real_train,0.83233166
S60_S0227,real_train,0.8956399
S50_S0451,real_train,0.77460873
S40_S0930,real_train,0.6486118
A60_S0010,real_train,0.8903674
A60_S0669,real_train,0.8760845
A60_S0347,real_train,0.87131786
S50_S0053,real_train,0.7993334
S70_S0328,real_train,0.852409
S50_S0383,real_train,0.8449919
A50_S0601,real_train,0.86417407
S60_S0660,real_train,0.8488051
S50_S0162,real_train,0.8573378
S50_S0585,real_train,0.7858906
S50_S0776,real_train,0.85660976
A50_S0672,real_train,0.8232543
A50_S0598,real_train,0.7253591
S50_S0001,real_train,0.8579644
S60_S0079,real_train,0.8903525
A40_S1145,real_train,0.7280787
S50_S0534,real_train,0.77424175
S50_S1167,real_train,0.8309297
S60_S1137,real_train,0.88629687
S40_S0108,real_train,0.5207068
A60_S0652,real_train,0.8792453
A40_S0813,real_train,0.7372655
S30_S0387,real_train,0.57714796
A60_S0047,real_train,0.8777457
A50_S0479,real_train,0.8501085
S60_S0794,real_train,0.8930098
S60_S1031,real_train,0.8643317
S60_S0083,real_train,0.88084215
S60_S0246,real_train,0.8826367
A60_S0596,real_train,0.88065195
S60_S0863,real_train,0.86188895
S40_S0903,real_train,0.69736
S70_S0868,real_train,0.8688579
A60_S0962,real_train,0.876635
A70_S0853,real_train,0.8507141
S50_S0812,real_train,0.7511706
A60_S1028,real_train,0.8612508
A50_S0882,real_train,0.83135706
A50_S0663,real_train,0.7701949
S60_S0526,real_train,0.8590616
S60_S0704,real_train,0.8662854
A40_S0941,real_train,0.7107096
S30_S0734,real_train,0.62412006
S70_S0045,real_train,0.8909506
A50_S0810,real_train,0.75420105
S40_S1196,real_train,0.7252349
S40_S0425,real_train,0.71732634
S60_S0369,real_train,0.88009125
A60_S1121,real_train,0.8503549
A40_S0251,real_train,0.71907365
S60_S0628,real_train,0.88051546
S60_S0542,real_train,0.8750979
S60_S0610,real_train,0.86303926
S40_S0544,real_train,0.6897214
S50_S0284,real_train,0.7943577
S70_S0552,real_train,0.85573274
A40_S0580,real_train,0.7438823
A50_S1077,real_train,0.8237699
A60_S0403,real_train,0.8606754
S60_S0753,real_train,0.86527485
S50_S1136,real_train,0.72018856
S60_S0317,real_train,0.892227
S60_S0894,real_train,0.87892616
A50_S0914,real_train,0.8118612
S50_S0700,real_train,0.8332198
A60_S0795,real_train,0.8622226
S50_S0649,real_train,0.77438486
S50_S0828,real_train,0.772904
S50_S0408,real_train,0.8290246
S60_S1132,real_train,0.8639379
A40_S0219,real_train,0.649457
A50_S0687,real_train,0.8384547
A60_S1155,real_train,0.8851528
A60_S0501,real_train,0.87590337
S60_S1066,real_train,0.87543607
S70_S0875,real_train,0.88092697
A60_S0018,real_train,0.8631007
A50_S0586,real_train,0.814012
S50_S0912,real_train,0.7728678
S50_S0558,real_train,0.84177536
A50_S1159,real_train,0.858238
A60_S0934,real_train,0.88088113
S60_S0603,real_train,0.86648643
S60_S0171,real_train,0.8563698
S60_S0214,real_train,0.8861504
S60_S0030,real_train,0.86580426
S60_S0656,real_train,0.88060683
S50_S0185,real_train,0.8108874
S40_S0132,real_train,0.6088957
A40_S0772,real_train,0.6853853
S60_S1129,real_train,0.8597558
A50_S0933,real_train,0.8195089
S60_S0272,real_train,0.8907698
A50_S1041,real_train,0.811248
A40_S0187,real_train,0.79416424
S50_S0160,real_train,0.80929744
A40_S0880,real_train,0.6812368
A60_S0025,real_train,0.8738496
S60_S0858,real_train,0.88630605
S50_S0174,real_train,0.84065425
S50_S1189,real_train,0.77688384
S60_S0035,real_train,0.8589639
S50_S0021,real_train,0.7811082
A60_S0774,real_train,0.8592215
S60_S0759,real_train,0.86346805
S50_S1084,real_train,0.8444163
A60_S0277,real_train,0.87726897
A40_S0345,real_train,0.72928905
S60_S0516,real_train,0.8794828
S40_S0849,real_train,0.66528386
S70_S0535,real_train,0.85335916
S40_S0080,real_train,0.49594396
A60_S0296,real_train,0.86840105
A40_S0573,real_train,0.59295297
S50_S0832,real_train,0.83790314
S70_S0876,real_train,0.8693129
S40_S0156,real_train,0.63183534
S40_S1195,real_train,0.71059793
S70_S0878,real_train,0.82981914
S50_S0950,real_train,0.5908703
S60_S0851,real_train,0.861759
S60_S0129,real_train,0.8635024
S60_S0221,real_train,0.85262287
A60_S0044,real_train,0.88334376
S60_S0865,real_train,0.8977639
S60_S1190,real_train,0.8650333
S50_S0117,real_train,0.8269357
S70_S0905,real_train,0.8792557
S60_S0771,real_train,0.896339
S50_S0449,real_train,0.79395396
A50_S0959,real_train,0.8129566
S50_S0899,real_train,0.78742397
S60_S1036,real_train,0.8915254
A50_S0972,real_train,0.67813396
S50_S1023,real_train,0.8118711
S60_S1170,real_train,0.85551673
A50_S0895,real_train,0.79096365
S50_S1191,real_train,0.8200461
S60_S0106,real_train,0.86953735
S60_S0338,real_train,0.8631359
A50_S0555,real_train,0.8147064
A60_S0278,real_train,0.8935999
S60_S0043,real_train,0.8525682
A50_S0483,real_train,0.8425306
S40_S0681,real_train,0.690372
S40_S0674,real_train,0.70078546
S60_S0302,real_train,0.85538405
S50_S0468,real_train,0.73961985
S60_S1096,real_train,0.84371895
S50_S0847,real_train,0.79875046
A50_S0620,real_train,0.8414643
A40_S1048,real_train,0.645734
A50_S0889,real_train,0.83505774
S40_S0470,real_train,0.6071701
S70_S1062,real_train,0.83087766
A60_S0124,real_train,0.8618324
S50_S0780,real_train,0.80696654
S60_S0830,real_train,0.86231726
S60_S0372,real_train,0.8988987
A30_S1150,real_train,0.60844696
S60_S0728,real_train,0.88997954
A40_S0518,real_train,0.69676125
S40_S1002,real_train,0.7113271
S50_S0754,real_train,0.8160478
A60_S0491,real_train,0.8423625
A60_S0957,real_train,0.8861676
S60_S0292,real_train,0.83383816
S50_S0413,real_train,0.77736676
S50_S0643,real_train,0.8473012
S60_S0147,real_train,0.8882873
S60_S0561,real_train,0.85635096
S60_S0158,real_train,0.8733613
A60_S0594,real_train,0.8725635
S50_S0582,real_train,0.772853
A60_S0890,real_train,0.8792684
S40_S0619,real_train,0.6538558
A50_S0887,real_train,0.6945874
S60_S0768,real_train,0.89440215
S50_S0703,real_train,0.8102448
S60_S1033,real_train,0.88067704
S50_S0339,real_train,0.8145618
S60_S0546,real_train,0.8933655
S50_S0054,real_train,0.7632992
S50_S1050,real_train,0.7682864
A50_S0871,real_train,0.83746386
A50_S0867,real_train,0.82070404
S60_S0548,real_train,0.83367735
S30_S0101,real_train,0.4688494
S60_S0257,real_train,0.81106824
S70_S0635,real_train,0.89440364
S50_S0790,real_train,0.8406602
S60_S0094,real_train,0.8966907
S30_S0346,real_train,0.4217086
S40_S1126,real_train,0.5973833
A60_S1173,real_train,0.89549017
A60_S0003,real_train,0.8819282
A50_S0644,real_train,0.8247777
S60_S0864,real_train,0.86650735
S50_S0572,real_train,0.8536038
A50_S0816,real_train,0.839443
S50_S1188,real_train,0.81637865
S70_S0741,real_train,0.85317034
A60_S0063,real_train,0.86896706
S50_S0577,real_train,0.85335934
A60_S0737,real_train,0.88598543
A60_S0839,real_train,0.85746557
S60_S0773,real_train,0.8697962
S40_S0439,real_train,0.47546118
A50_S0637,real_train,0.8106221
A50_S1192,real_train,0.8398917
A60_S0098,real_train,0.8851906
S40_S0883,real_train,0.61593026
A60_S0412,real_train,0.8825297
S40_S0625,real_train,0.73487264
S60_S0481,real_train,0.88020283
S60_S0376,real_train,0.8589335
S60_S1118,real_train,0.8498856
S60_S0426,real_train,0.89958334
S60_S1024,real_train,0.89159054
A50_S0714,real_train,0.79443157
S50_S0698,real_train,0.7989055
S40_S0453,real_train,0.6272031
S60_S0524,real_train,0.87595135
S60_S0443,real_train,0.8533324
S50_S1119,real_train,0.8053049
S60_S1139,real_train,0.8772367
A60_S0244,real_train,0.8987519
S50_S0707,real_train,0.8307018
S60_S1144,real_train,0.8432802
S60_S0306,real_train,0.8974591
S60_S0600,real_train,0.88613486
S60_S1160,real_train,0.88167393
S50_S0647,real_train,0.82750267
S60_S0811,real_train,0.89682025
S70_S0450,real_train,0.8549929
S40_S0303,real_train,0.6012182
S70_S0916,real_train,0.8501552
S60_S0224,real_train,0.8467309
S50_S0148,real_train,0.7776464
A60_S0640,real_train,0.8770841
S60_S0667,real_train,0.84597784
S40_S0898,real_train,0.7508481
S50_S0081,real_train,0.8044785
S60_S0305,real_train,0.8576145
A50_S0566,real_train,0.8082244
S50_S0958,real_train,0.76715773
A60_S0308,real_train,0.8736997
S60_S0943,real_train,0.88635975
S50_S0559,real_train,0.7809388
S50_S0844,real_train,0.83465725
S40_S0135,real_train,0.60036516
S60_S0297,real_train,0.8653024
S50_S0804,real_train,0.839038
S60_S0829,real_train,0.8654375
A60_S0315,real_train,0.83333665
S60_S0263,real_train,0.8901302
S60_S0525,real_train,0.8624707
S50_S0860,real_train,0.8021759
A60_S1082,real_train,0.86195046
S50_S0740,real_train,0.82879484
S40_S0591,real_train,0.5645178
S60_S1080,real_train,0.84727657
S50_S1049,real_train,0.8181506
S30_S0968,real_train,0.59072363
A60_S0536,real_train,0.8615253
S50_S1164,real_train,0.8326
S50_S0654,real_train,0.8113251
S50_S0680,real_train,0.77185893
A60_S0760,real_train,0.88822925
S40_S0177,real_train,0.6820339
S40_S0260,real_train,0.67997265
A60_S0269,real_train,0.8318764
S70_S0588,real_train,0.88859725
S60_S0650,real_train,0.866816
S40_S1199,real_train,0.7330126
S30_S0327,real_train,0.5864191
S50_S0128,real_train,0.8464169
S50_S0701,real_train,0.82191837
S70_S1166,real_train,0.86290425
S60_S0207,real_train,0.8601455
A70_S0761,real_train,0.841246
S60_S1117,real_train,0.89192367
S50_S0633,real_train,0.7624442
S60_S0874,real_train,0.87267953
S60_S0593,real_train,0.86064756
S50_S0724,real_train,0.8410424
S60_S0840,real_train,0.894676
S50_S0368,real_train,0.793896
S50_S0906,real_train,0.77925384
S50_S0446,real_train,0.8118684
S60_S0204,real_train,0.8790263
A50_S0349,real_train,0.80463976
A60_S0384,real_train,0.8949318
S50_S0990,real_train,0.82267
S60_S0969,real_train,0.8980797
A50_S0949,real_train,0.835451
S50_S0218,real_train,0.83329767
A40_S0471,real_train,0.70672214
S50_S0291,real_train,0.80328375
A50_S1038,real_train,0.844399
S50_S0775,real_train,0.7863232
S60_S1035,real_train,0.88375795
S60_S0888,real_train,0.8906784
S60_S0842,real_train,0.8632099
S50_S0046,real_train,0.7843111
S50_S1114,real_train,0.7912959
S60_S0653,real_train,0.89441496
A50_S0432,real_train,0.7993623
